,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
6,7,7,2.49087995855714e+18,1.23766219345533e+18,20.3953170776367,19.6626243591309,19.474853515625,19.4479904174805,19.3370056152344,0.046302646398544006,0.03607871010899501,0.024959083646536,0.018547274172306002,0.013795764185488,23.675199508667003,24.8570995330811,1,2.26642107963562,3.2798824310302996,4.0125751495361,4.200345993042,4.2272090911865,4.3381938934326,0.7326927185058031,0.9204635620117008,0.9473266601561999,1.0583114624023,0.187770843505898,0.214633941650398,0.325618743896499,0.026863098144498998,0.1378479003906,0.110984802246101,-1.1819000244141,-4.4617824554444,-5.1944751739502,-5.3822460174561,-5.409109115600599,-5.5200939178467,0
16,18,18,3.05203550900192e+18,1.23766732164832e+18,22.407413482666,21.6385097503662,21.6219482421875,21.804254531860398,22.0861492156982,0.05844898521900201,0.04554305598139799,0.031506475061178,0.023412687703967,0.0174147374928,24.4706687927246,24.1138401031494,1,2.14274907112122,2.0632553100586,2.8321590423583998,2.8487205505371,2.6664142608642,2.3845195770264,0.7689037322998009,0.785465240478501,0.603158950805604,0.321264266967802,0.016561508178700002,-0.165744781494198,-0.447639465331999,-0.18230628967289805,-0.4642009735107,-0.281894683837802,0.356828689575199,-1.7064266204834,-2.4753303527832,-2.4918918609619,-2.309585571289,-2.0276908874512,0
18,20,20,3.05671503048973e+18,1.23766481821519e+18,21.838939666748,21.49143409729,21.607435226440398,21.6410827636719,21.788843154907198,0.048706382513045994,0.037951681762933995,0.026254799216986,0.019510129466653002,0.014511952176690001,22.8432464599609,23.4214897155762,1,2.24113821983337,1.0043067932129,1.3518123626709,1.2358112335205,1.202163696289,1.0544033050536998,0.34750556945800104,0.231504440307603,0.19785690307610104,0.050096511840803,-0.11600112915039801,-0.1496486663819,-0.297409057617198,-0.033647537231502,-0.1814079284668,-0.14776039123529802,-0.578243255615302,-1.5825500488281998,-1.9300556182861999,-1.8140544891358,-1.7804069519043002,-1.6326465606690002,0
19,21,21,3.05671503048973e+18,1.23766481821499e+18,21.9846534729004,22.280319213867198,21.8378467559814,22.1042289733887,22.8046493530273,0.049498278647660994,0.03856872394681,0.026681665331125,0.019827336072922,0.014747895300388001,22.651668548584,23.5079860687256,1,1.40368986129761,0.6670150756835971,0.3713493347168,0.8138217926025991,0.547439575195298,-0.152980804443303,-0.295665740966797,0.146806716919002,-0.11957550048829901,-0.8199958801269001,0.44247245788579903,0.176090240478498,-0.524330139160103,-0.26638221740730106,-0.966802597045902,-0.700420379638601,-0.856317520141602,-1.5233325958252,-1.2276668548584,-1.6701393127442,-1.4037570953368999,-0.7033367156982989,0
43,46,46,6.37468051229482e+18,1.23766196635868e+18,21.8890018463135,21.646900177002,21.3719234466553,21.3015537261963,21.821069717407198,0.06410725414753,0.049951940774918005,0.034556519240141,0.025679199025034998,0.019100606441498,21.658720016479503,21.955209732055696,1,0.939735114574432,-0.2302818298339989,0.011819839477504,0.286796569824205,0.35716629028320296,-0.162349700927695,0.24210166931150198,0.517078399658203,0.587448120117202,0.067932128906303,0.274976730346701,0.34534645080570003,-0.174169540405199,0.070369720458999,-0.4491462707519,-0.519515991210898,-0.296489715576193,-0.066207885742195,-0.308309555053697,-0.583286285400398,-0.653656005859396,-0.134140014648498,0
91,96,96,6.37468058208803e+18,1.23766512961795e+18,21.53076171875,21.306505203247106,19.9898052215576,21.5725269317627,19.927566528320305,0.042769860476255,0.033325988799334,0.023054763674736,0.0171321593225,0.012743179686368001,21.7864074707031,21.176654815673803,1,0.301129817962646,0.2556457519531,0.479902267455998,1.7966022491455,0.21388053894040104,1.8588409423828,0.22425651550289802,1.5409564971924,-0.041765213012699,1.6031951904297,1.3166999816895,-0.26602172851559697,1.3789386749268002,-1.5827217102051,0.062238693237298,1.6449604034424,0.609752655029297,0.3541069030761971,0.129850387573299,-1.1868495941161998,0.395872116088896,-1.2490882873535,0
196,211,211,6.37489166899321e+18,1.23766744297348e+18,21.9823360443115,20.703334808349602,20.66090965271,20.6983051300049,20.6669864654541,0.06415709853172301,0.049990773200989005,0.03458338603377298,0.025699162855743998,0.019115455448628003,22.6536426544189,22.588563919067397,1,2.7077796459198,0.671306610107401,1.9503078460693002,1.9927330017089,1.9553375244139999,1.9866561889648,1.2790012359618999,1.3214263916015,1.2840309143066,1.3153495788574,0.042425155639602,0.005029678344702,0.036348342895501,-0.037395477294901,-0.006076812744102,0.031318664550799,0.065078735351502,-0.606227874755898,-1.88522911071779,-1.9276542663574,-1.8902587890625,-1.9215774536133001,0
227,245,245,6.37862118559109e+18,1.23766778176589e+18,19.4689674377441,19.5849781036377,19.9439334869385,20.274732589721697,20.4282073974609,0.13391262292861902,0.10434380918741196,0.072184562683106,0.053640868514775994,0.039898950606585,19.400899887085,19.203950881958,1,1.89571857452393,-0.068067550659102,-0.184078216552699,-0.543033599853501,-0.873832702636697,-1.0273075103759,-0.11601066589359699,-0.4749660491944,-0.805765151977596,-0.959239959716797,-0.358955383300803,-0.689754486083999,-0.8432292938232,-0.330799102783196,-0.484273910522397,-0.153474807739201,0.19694900512699892,0.265016555786101,0.381027221679698,0.739982604980501,1.0707817077636999,1.2242565155029,0
242,260,260,6.37872670542136e+18,1.2376674467302e+18,19.12906265258789,17.7593078613281,17.110008239746097,16.8523654937744,16.8156757354736,0.08515270799398401,0.06635041534900701,0.045900907367467984,0.03410929441452,0.025371048599482002,19.7536907196045,21.3003368377686,1,0.185862243175507,0.6246280670166021,1.9943828582764,2.6436824798583998,2.9013252258301003,2.9380149841309,1.3697547912598005,2.0190544128418,2.2766971588135,2.3133869171143,0.6492996215820029,0.9069423675537,0.9436321258544992,0.2576427459716969,0.294332504272496,0.036689758300799,-1.5466461181641,-2.1712741851807,-3.5410289764405,-4.1903285980225,-4.4479713439942,-4.484661102295,0
247,267,267,6.37872674622355e+18,1.23766791113225e+18,21.8234004974365,21.0684604644775,20.55168151855469,19.644479751586896,19.227369308471697,0.07772307097911799,0.060561291873455,0.041896019130945,0.03113323263824,0.023157406598330002,20.901901245117198,22.05522346496581,1,0.6518998742103579,-0.9214992523193001,-0.166559219360302,0.3502197265625,1.2574214935303,1.6745319366455,0.754940032958999,1.2717189788818,2.1789207458496,2.5960311889648,0.516778945922802,1.4239807128906,1.8410911560058,0.9072017669678021,1.324312210083,0.41711044311519896,-1.1533222198486,-0.23182296752930398,-0.986763000488303,-1.5035419464111,-2.4107437133789102,-2.827854156494109,0
