,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
0,0,0,5,6374821266963042252,1237667253473771641,20.0247554779053,20.000087738037106,20.1712589263916,20.3688888549805,20.472017288208,0.0837407931685448,0.0652502626180649,0.0451398268342018,0.0335437320172787,0.0249503720551729,20.835552215576197,21.7279262542725,0,-0.0007971450104378162,0.8107967376708984,0.8354644775390945,0.6642932891845952,0.466663360595696,0.363534927368196,0.02466773986819604,-0.14650344848630326,-0.3441333770752024,-0.4472618103027024,-0.1711711883544993,-0.3688011169433985,-0.4719295501708984,-0.1976299285888992,-0.30075836181639914,-0.10312843322749997,-0.8923740386963033,-1.7031707763672017,-1.7278385162353975,-1.5566673278808985,-1.3590373992919993,-1.2559089660644993,0
1,3,3,82,3150516566478558496,1237667253480587774,24.1040420532227,21.8576965332031,20.6230792999268,19.432237625122106,18.533275604248,0.0712963864207268,0.0555536635220051,0.0384317673742771,0.0285589210689068,0.0212425906211138,23.1595268249512,23.1538410186768,0,3.06145921058487e-05,-0.9445152282714986,1.3018302917481002,2.5364475250244,3.727289199829098,4.6262512207032005,2.2463455200195988,3.4809627532958984,4.671804428100597,5.570766448974699,1.2346172332762997,2.425458908080998,3.3244209289550994,1.1908416748046982,2.0898036956788,0.8989620208741016,0.005685806274399853,0.9502010345458984,-1.2961444854737003,-2.53076171875,-3.721603393554698,-4.6205654144288,0
2,6,6,127,2485285643395008943,1237667253995242112,23.7280788421631,22.1755771636963,20.7148208618164,18.9350852966309,17.719575881958,0.107618033885956,0.0838552415370941,0.0580106675624847,0.0431081429123878,0.032064538449049,23.4839210510254,23.936304092407198,0,2.8393917091307203e-05,-0.2441577911376989,1.3083438873291016,2.7691001892090017,4.548835754394503,5.7643451690674015,1.5525016784668004,3.013257980346701,4.792993545532202,6.0085029602050986,1.4607563018799006,3.2404918670654013,4.456001281738298,1.7797355651855007,2.9952449798583984,1.2155094146728975,-0.4523830413817969,-0.20822525024409802,-1.7607269287108984,-3.221483230590799,-5.0012187957763,-6.216728210449197,0
3,19,19,259,6374821298101552532,1237667254012477476,19.8057918548584,19.7611484527588,20.1415405273438,20.36834144592289,20.8236198425293,0.0801506415009499,0.0624528378248215,0.0432045832276344,0.0321056358516216,0.0238806959241629,19.2672843933105,19.4467487335205,0,-0.000117405055789277,-0.5385074615478977,-0.493864059448299,-0.874256134033299,-1.1010570526123968,-1.5563354492187995,0.04464340209959872,-0.3357486724854013,-0.5625495910644993,-1.017827987670902,-0.38039207458499996,-0.607192993164098,-1.0624713897705007,-0.226800918579098,-0.6820793151855007,-0.4552783966064027,-0.17946434021000002,0.3590431213378977,0.314399719238299,0.6947917938232989,0.9215927124023968,1.3768711090087995,0
6,45,45,671,6377671176406172430,1237667292120743992,20.2589359283447,19.9291954040527,19.9986133575439,20.033893585205103,20.2468643188477,0.17872324585914606,0.139259949326515,0.0963393822312355,0.0715904906392097,0.0532501712441444,21.369441986084002,21.555932998657198,0,0.00015444963355548702,1.1105060577393004,1.4402465820313033,1.3708286285401032,1.3355484008788991,1.1225776672363033,0.32974052429200285,0.26032257080080257,0.2250423431395987,0.012071609497002813,-0.06941795349120028,-0.10469818115240416,-0.31766891479500003,-0.03528022766120387,-0.24825096130379976,-0.2129707336425959,-0.18649101257319609,-1.2969970703124964,-1.6267375946044993,-1.5573196411132992,-1.5220394134520951,-1.3090686798094993,0
7,77,77,1446,6374856457777578458,1237667323254407271,17.6482753753662,17.5480270385742,17.867534637451197,18.1521625518799,18.4198989868164,0.0998098328709602,0.0777711495757103,0.0538017190992832,0.0399804450571537,0.0297381058335304,17.2875709533691,17.1021327972412,0,-4.7885307139949893e-05,-0.3607044219970987,-0.26045608520509944,-0.5799636840820952,-0.8645915985107991,-1.1323280334472976,0.10024833679199928,-0.21925926208499646,-0.5038871765137003,-0.7716236114501989,-0.31950759887699576,-0.6041355133056996,-0.8718719482421982,-0.28462791442870383,-0.5523643493652024,-0.26773643493649857,0.18543815612790127,0.546142578125,0.4458942413330007,0.7654018402099965,1.0500297546387003,1.3177661895751989,0
9,104,104,1788,6387874691556575192,1237667324322971731,20.3123397827148,20.0975131988525,20.4497318267822,20.7519779205322,21.268503189086896,0.0695364996790886,0.0541823729872704,0.0374831147491932,0.0278539713472128,0.0207182373851538,20.2058429718018,19.8928546905518,0,-0.000268976407824084,-0.10649681091300067,0.10832977294930046,-0.24388885498040125,-0.5461349487304012,-1.062660217285096,0.2148265838623012,-0.13739204406740058,-0.4396381378174006,-0.9561634063720952,-0.3522186279297017,-0.6544647216797017,-1.1709899902343963,-0.30224609375,-0.8187713623046946,-0.5165252685546946,0.31298828125,0.4194850921630007,0.20465850830069954,0.5568771362304012,0.8591232299804012,1.375648498535096,0
10,105,105,1792,6387874691556575683,1237667324323102743,17.4855003356934,17.371099472045902,17.746164321899396,18.0741367340088,18.3808555603027,0.0841732919216156,0.0655872598290443,0.0453729629516602,0.0337169729173183,0.025079233571887,17.0123119354248,16.783643722534197,0,7.8036036939011e-06,-0.4731884002685973,-0.3587875366211009,-0.7338523864745952,-1.0618247985839986,-1.3685436248778975,0.11440086364749645,-0.26066398620599784,-0.5886363983154013,-0.8953552246093004,-0.3750648498534943,-0.7030372619628977,-1.0097560882567969,-0.3279724121094034,-0.6346912384033025,-0.3067188262938991,0.2286682128906037,0.701856613159201,0.5874557495117045,0.9625205993651988,1.2904930114746025,1.5972118377685014,0
11,115,115,2014,6377671209692170854,1237667429557862604,20.410320281982397,20.253017425537106,20.553617477417,20.7185344696045,21.0382289886475,0.175625637173653,0.136846303939819,0.0946696400642395,0.0703496858477592,0.0523272417485714,20.5928230285645,20.0138206481934,0,5.20289504493121e-05,0.1825027465821023,0.33980560302739704,0.03920555114750002,-0.12571144103999998,-0.4454059600830007,0.15730285644529474,-0.1432971954346023,-0.3082141876221023,-0.627908706665103,-0.30060005187989697,-0.465517044067397,-0.7852115631103977,-0.1649169921875,-0.4846115112305007,-0.3196945190430007,0.5790023803711009,0.39649963378899855,0.2391967773437038,0.5397968292236008,0.7047138214111008,1.0244083404541016,0
13,118,118,2117,6374821276626715204,1237667429569527902,20.6255702972412,19.9555759429932,20.2696380615234,20.471021652221697,20.774583816528303,0.0811507776379585,0.0632321313023567,0.0437436997890472,0.0325062572956085,0.0241786818951368,21.0697917938232,21.409564971923803,0,0.000115692942927126,0.4442214965819993,1.11421585083,0.8001537322998011,0.5987701416015021,0.295207977294897,0.6699943542480007,0.35593223571780186,0.15454864501950286,-0.14901351928710227,-0.31406211853019883,-0.5154457092284979,-0.8190078735351031,-0.20138359069829906,-0.5049457550049041,-0.3035621643066051,-0.3397731781006037,-0.783994674682603,-1.4539890289306037,-1.1399269104004048,-0.9385433197021058,-0.6349811553955007,0
