,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
4,7,7,131,3152275785083002900,1237667253995897693,24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.578346252441396,0.145642384886742,0.113483555614948,0.0785074010491371,0.0583394132554531,0.0433938056230545,23.4094562530518,23.663230895996104,1,2.20113086700439,-1.196781158447198,1.6105041503906996,1.4681797027587995,1.2853984832763992,1.8311100006104049,2.8072853088378977,2.664960861205998,2.4821796417235973,3.027891159057603,-0.1423244476318999,-0.32510566711430045,0.22060585021970525,-0.18278121948240056,0.3629302978516051,0.5457115173340057,-0.253774642944304,0.9430065155028942,-1.864278793335004,-1.7219543457031037,-1.5391731262207031,-2.084884643554709,0
5,8,8,132,3152275785083002900,1237667253995897693,24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.578346252441396,0.145642384886742,0.113483555614948,0.0785074010491371,0.0583394132554531,0.0433938056230545,23.4094562530518,23.663230895996104,1,2.19944643974304,-1.196781158447198,1.6105041503906996,1.4681797027587995,1.2853984832763992,1.8311100006104049,2.8072853088378977,2.664960861205998,2.4821796417235973,3.027891159057603,-0.1423244476318999,-0.32510566711430045,0.22060585021970525,-0.18278121948240056,0.3629302978516051,0.5457115173340057,-0.253774642944304,0.9430065155028942,-1.864278793335004,-1.7219543457031037,-1.5391731262207031,-2.084884643554709,0
21,26,26,415,6387874655049351892,1237667254543777976,20.132032394409197,20.150463104248,20.3319873809814,20.502620697021502,20.9663619995117,0.109446071088314,0.0852796360850334,0.0589960590004921,0.0438403934240341,0.0326091982424259,20.6993560791016,21.573881149292003,1,5.859938621521,0.5673236846924041,0.5488929748536009,0.3673686981202025,0.19673538208009944,-0.2670059204100994,-0.018430709838803242,-0.19995498657220168,-0.3705883026123047,-0.8343296051025035,-0.18152427673339844,-0.35215759277350145,-0.8158988952637003,-0.17063331604010298,-0.6343746185303019,-0.4637413024901989,-0.8745250701904013,-1.4418487548828054,-1.4234180450440022,-1.2418937683106035,-1.0712604522705007,-0.6075191497803019,0
81,90,90,1614,6374821249783170264,1237667323787477298,21.7093067169189,20.5069198608398,20.3710994720459,20.390905380249,20.3063926696777,0.0716109946370125,0.0557988025248051,0.038601353764534,0.0286849420517683,0.0213363263756037,22.929750442504893,22.60759925842289,1,2.79041886329651,1.220443725585998,2.422830581665096,2.5586509704589986,2.5388450622558985,2.623357772827198,1.2023868560790978,1.3382072448730007,1.3184013366699006,1.4029140472412005,0.13582038879390268,0.11601448059080255,0.20052719116210227,-0.01980590820310013,0.06470680236819959,0.08451271057129972,0.3221511840819993,-0.8982925415039986,-2.1006793975830966,-2.2364997863769998,-2.216693878173899,-2.3012065887452002,0
103,114,114,1995,6374821293806587162,1237667429033247019,20.69743347167969,20.2323837280273,20.3166999816895,20.3615741729736,20.3962078094482,0.0853557661175728,0.0665086358785629,0.0460103675723076,0.0341906324028969,0.0254315510392189,20.6180114746094,21.7055339813232,1,0.71414715051651,-0.07942199707029829,0.3856277465820988,0.30131149291990056,0.25643730163579903,0.22180366516120031,0.465049743652397,0.3807334899901989,0.3358592987060973,0.3012256622314986,-0.08431625366219819,-0.12919044494629972,-0.16382408142089844,-0.04487419128410153,-0.07950782775870023,-0.03463363647459872,-1.0875225067137997,-1.0081005096435014,-1.4731502532958984,-1.3888339996337002,-1.3439598083495987,-1.309326171875,0
168,188,188,3699,6378867486933125659,1237667733969764628,20.96060562133789,20.2727966308594,20.3525447845459,20.4517002105713,20.062301635742198,0.121949724853039,0.0950223952531815,0.0657360553741455,0.0488489344716072,0.0363346338272095,21.0418586730957,21.6604843139648,1,0.8075402975082401,0.08125305175780184,0.7690620422362997,0.6893138885498011,0.5901584625243999,0.9795570373535014,0.6878089904784979,0.6080608367919993,0.508905410766598,0.8983039855956996,-0.07974815368649857,-0.17890357971189985,0.2104949951172017,-0.09915542602540127,0.2902431488037003,0.3893985748291016,-0.6186256408691015,-0.6998786926269034,-1.3876876831054012,-1.3079395294189031,-1.2087841033935014,-1.598182678222603,0
177,200,200,4055,6382632236221469021,1237667735035772957,17.1524772644043,17.5987110137939,17.8962726593018,18.3643779754639,18.6357326507568,0.11149388551712,0.086875282227993,0.0600999146699905,0.0446606799960136,0.0332193411886692,16.930850982665998,17.015230178833,1,2.09217000007629,-0.22162628173830254,-0.6678600311279013,-0.9654216766358026,-1.4335269927979013,-1.7048816680908023,-0.4462337493895987,-0.7437953948975,-1.2119007110595987,-1.4832553863525,-0.2975616455079013,-0.7656669616699999,-1.0370216369629013,-0.4681053161620987,-0.7394599914550001,-0.27135467529290125,-0.08437919616700285,0.13724708557129972,0.5834808349608984,0.8810424804687997,1.3491477966308985,1.6205024719237997,0
236,264,264,4990,3081097800347291014,1237667781754880191,21.545679092407198,20.5471019744873,19.578908920288104,19.0002212524414,18.811244964599602,0.0920401588082314,0.0717170685529709,0.0496135354042053,0.0368681736290455,0.0274231471121311,23.4907283782959,22.5853424072266,1,0.172350540757179,1.9450492858887003,2.9436264038085973,3.9118194580077934,4.490507125854498,4.679483413696295,0.998577117919897,1.9667701721190944,2.545457839965799,2.734434127807596,0.9681930541991974,1.5468807220459018,1.7358570098876989,0.5786876678467046,0.7676639556885014,0.18897628784179688,0.9053859710692967,-1.0396633148194034,-2.0382404327393004,-3.006433486938498,-3.5851211547852024,-3.7740974426269993,0
243,272,272,5086,6378621185591084889,1237667781765890214,19.4689674377441,19.5849781036377,19.9439334869385,20.274732589721697,20.4282073974609,0.13391262292861902,0.10434380918741196,0.0721845626831055,0.0536408685147762,0.0398989506065845,19.400899887085,19.203950881958,1,1.89571857452393,-0.06806755065910153,-0.18407821655269885,-0.5430335998535014,-0.8738327026366974,-1.0273075103758984,-0.11601066589359732,-0.4749660491943999,-0.8057651519775959,-0.9592399597167968,-0.35895538330080257,-0.6897544860839986,-0.8432292938231996,-0.330799102783196,-0.484273910522397,-0.15347480773920094,0.1969490051269993,0.26501655578610084,0.38102722167969816,0.7399826049805007,1.0707817077636967,1.2242565155028975,0
255,286,286,5558,6377671255863066858,1237667782820299164,22.693067550659197,21.7795391082764,21.722537994384798,21.5010833740234,21.905649185180696,0.100042186677456,0.0779521912336349,0.0539269670844078,0.0400735139846802,0.0298073329031467,22.6570167541504,21.851873397827106,1,0.4961922466754911,-0.03605079650879617,0.8774776458740021,0.9344787597656036,1.1559333801270029,0.7513675689697052,0.9135284423827984,0.9705295562744,1.191984176635799,0.7874183654785014,0.05700111389160156,0.27845573425300074,-0.12611007690429688,0.2214546203613992,-0.18311119079589844,-0.4045658111572976,0.8051433563232991,0.8411941528320952,-0.07233428955070309,-0.12933540344230465,-0.35079002380370383,0.053775787353593785,0
256,287,287,5559,6377671255863066858,1237667782820299164,22.693067550659197,21.7795391082764,21.722537994384798,21.5010833740234,21.905649185180696,0.100042186677456,0.0779521912336349,0.0539269670844078,0.0400735139846802,0.0298073329031467,22.6570167541504,21.851873397827106,1,0.495874911546707,-0.03605079650879617,0.8774776458740021,0.9344787597656036,1.1559333801270029,0.7513675689697052,0.9135284423827984,0.9705295562744,1.191984176635799,0.7874183654785014,0.05700111389160156,0.27845573425300074,-0.12611007690429688,0.2214546203613992,-0.18311119079589844,-0.4045658111572976,0.8051433563232991,0.8411941528320952,-0.07233428955070309,-0.12933540344230465,-0.35079002380370383,0.053775787353593785,0
319,357,357,6753,6378726746223545509,1237667911132250317,21.8234004974365,21.0684604644775,20.55168151855469,19.644479751586896,19.227369308471697,0.0777230709791183,0.060561291873455,0.0418960191309452,0.0311332326382399,0.0231574065983295,20.901901245117198,22.05522346496581,1,0.6518998742103579,-0.9214992523193004,-0.16655921936030182,0.3502197265625,1.257421493530302,1.6745319366455007,0.7549400329589986,1.2717189788818004,2.1789207458496023,2.5960311889648007,0.5167789459228018,1.4239807128906037,1.8410911560058023,0.907201766967802,1.3243122100830007,0.4171104431151989,-1.1533222198486044,-0.231822967529304,-0.9867630004883026,-1.5035419464111044,-2.4107437133789062,-2.8278541564941047,0
326,365,365,6939,6374821294880329080,1237667912198980370,21.8620929718018,20.6428184509277,19.429708480835,18.5240573883057,18.292217254638697,0.0794557556509972,0.0619113855063915,0.0428300090134144,0.0318272896111012,0.0236736554652452,22.3961181640625,21.708377838134798,1,0.40932223200798,0.5340251922606996,1.7532997131348012,2.9664096832274995,3.8720607757568,4.103900909423803,1.2192745208741016,2.4323844909668004,3.338035583496101,3.5698757171631037,1.2131099700926988,2.118761062622,2.350601196289002,0.9056510925293004,1.1374912261963033,0.23184013366700285,0.6877403259277024,0.15371513366700285,-1.0655593872070988,-2.2786693572997976,-3.184320449829098,-3.416160583496101,0
337,379,379,7413,6378726780583283616,1237667915959697533,18.320781707763697,18.3565425872803,18.6586093902588,18.9033355712891,19.1203002929688,0.111927404999733,0.0872130766510963,0.0603336021304131,0.0448343344032764,0.0333485081791878,18.3870620727539,19.1026916503906,1,1.37737536430359,0.0662803649902024,0.030519485473600838,-0.2715473175049006,-0.5162734985352024,-0.7332382202149006,-0.03576087951660156,-0.33782768249510303,-0.5825538635254048,-0.799518585205103,-0.3020668029785014,-0.5467929840088033,-0.7637577056885014,-0.24472618103030186,-0.4616909027100001,-0.21696472167969816,-0.7156295776367009,-0.7819099426269034,-0.7461490631103018,-0.4440822601318004,-0.19935607910149847,0.01760864257819961,0
362,410,410,8244,3124726421737445562,1237668292299194805,22.525278091430696,21.67072868347169,22.0011157989502,21.5441551208496,20.9684753417969,0.0869793742895126,0.06777373701334,0.0468855574727058,0.0348409935832024,0.0259152986109257,23.568965911865202,23.507835388183604,1,2.30274105072021,1.0436878204345064,1.898237228393505,1.5678501129150035,2.024810791015604,2.6004905700683025,0.8545494079589986,0.5241622924804972,0.9811229705810972,1.5568027496337962,-0.3303871154785014,0.12657356262209873,0.7022533416747976,0.4569606781006002,1.032640457153299,0.5756797790526988,0.061130523681597985,-0.9825572967529084,-1.837106704711907,-1.5067195892334055,-1.9636802673340057,-2.5393600463867045,0
