,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
23,46,46,6.37777681219846e+18,1.23766725399301e+18,22.772048950195302,21.18352699279789,20.974416732788104,21.3610210418701,21.1757431030273,0.161517128348351,0.125853046774864,0.087064556777477,0.064698293805122,0.048123646527529006,23.00150680541989,1,2.8523945808410605,0.229457855224595,1.817979812622,2.02709007263179,1.6404857635498,1.8257637023926,1.5885219573973999,1.7976322174072001,1.4110279083252,1.596305847168,0.20911026000979396,-0.177494049072202,0.007783889770597,-0.386604309081996,-0.20132637023919692,0.18527793884279797,0
24,47,47,6.37781190744998e+18,1.23766725399413e+18,21.293409347534197,20.6520023345947,20.550745010376,20.5413837432861,20.424242019653303,0.10007648169994401,0.07797891646623599,0.05394545570015901,0.040087252855301,0.029817553237081,21.3407573699951,1,2.66009974479675,0.047348022460902,0.688755035400398,0.790012359619098,0.799373626708999,0.916515350341797,0.641407012939496,0.742664337158196,0.7520256042480971,0.869167327880895,0.10125732421869996,0.110618591308601,0.2277603149413989,0.009361267089901,0.126502990722699,0.11714172363279801,0
25,52,52,3.152275785083e+18,1.2376672539959e+18,24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.578346252441396,0.145642384886742,0.11348355561494801,0.07850740104913702,0.058339413255453,0.043393805623055,23.4094562530518,1,2.20113086700439,-1.1967811584472,1.6105041503906998,1.4681797027588002,1.2853984832764,1.83111000061041,2.8072853088379,2.664960861206,2.4821796417236,3.0278911590576,-0.1423244476319,-0.3251056671143,0.220605850219705,-0.182781219482401,0.36293029785160497,0.545711517334006,0
26,53,53,3.152275785083e+18,1.2376672539959e+18,24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.578346252441396,0.145642384886742,0.11348355561494801,0.07850740104913702,0.058339413255453,0.043393805623055,23.4094562530518,1,2.1994464397430398,-1.1967811584472,1.6105041503906998,1.4681797027588002,1.2853984832764,1.83111000061041,2.8072853088379,2.664960861206,2.4821796417236,3.0278911590576,-0.1423244476319,-0.3251056671143,0.220605850219705,-0.182781219482401,0.36293029785160497,0.545711517334006,0
28,55,55,3.79945712548421e+18,1.23766725399773e+18,21.5190811157227,19.9091758728027,19.5851516723633,19.452219009399396,19.4397869110107,0.183580175042152,0.14304442703723902,0.098957471549511,0.07353600859642,0.054697282612324004,24.1428241729736,1,3.00004291534424,2.6237430572509,4.233648300170899,4.5576725006103,4.6906051635742,4.7030372619629,1.60990524292,1.9339294433594,2.0668621063233,2.0792942047119998,0.3240242004394001,0.4569568634033029,0.46938896179199896,0.13293266296390302,0.14536476135259901,0.012432098388696999,0
55,95,95,6.37482124763359e+18,1.23766725401005e+18,22.6855487823486,21.2167377471924,21.042779922485398,21.098424911499,21.1111946105957,0.06959391385316901,0.05422710627317402,0.03751406073570298,0.027876967564224996,0.020735342055559,23.0679206848145,1,2.24445390701294,0.38237190246589897,1.8511829376221,2.0251407623291002,1.9694957733155,1.9567260742188,1.4688110351562,1.6427688598632,1.5871238708496,1.5743541717529,0.17395782470700302,0.118312835693402,0.10554313659670099,-0.055644989013601,-0.06841468811030199,-0.012769699096701,0
92,143,143,3.06832587327695e+18,1.23766725453126e+18,22.57490921020511,21.8462104797363,21.6980895996094,21.8212871551514,21.864685058593803,0.09589628130197501,0.074721731245518,0.051692150533199005,0.03841280564665799,0.02857207134366,23.6197166442871,1,2.2806854248046897,1.044807434082,1.7735061645508001,1.9216270446776997,1.7984294891356998,1.7550315856933,0.7286987304688031,0.876819610595703,0.753622055053704,0.7102241516113001,0.1481208801269,0.024923324584901003,-0.018474578857503997,-0.123197555541999,-0.166595458984403,-0.043397903442404,0
96,147,147,6.48525616868386e+18,1.23766725453244e+18,22.2437896728516,21.2550067901611,21.458913803100604,21.309583663940398,21.5904808044434,0.09383281320333504,0.073113895952702,0.050579853355884996,0.037586253136396006,0.027957266196609,23.2263622283936,1,2.33018922805786,0.9825725555419992,1.9713554382325,1.767448425293,1.9167785644531998,1.6358814239502,0.988782882690501,0.7848758697509979,0.9342060089112041,0.653308868408203,-0.203907012939503,-0.05457687377929701,-0.3354740142822981,0.149330139160206,-0.131567001342795,-0.280897140503001,0
104,165,165,6.37767116244543e+18,1.23766725453827e+18,22.2605857849121,21.6019439697266,21.6375560760498,21.7482223510742,21.8410243988037,0.09959155321121199,0.077601060271263,0.053684055805205994,0.039893005043267996,0.029673067852855,22.176610946655305,1,4.24036645889282,-0.083974838256797,0.5746669769287,0.5390548706055011,0.4283885955811009,0.33558654785160197,0.6586418151854971,0.623029708862298,0.512363433837898,0.4195613861083979,-0.0356121063232,-0.146278381347599,-0.239080429077099,-0.1106662750244,-0.20346832275389892,-0.092802047729499,0
110,174,174,6.38787465504935e+18,1.23766725454378e+18,20.132032394409197,20.150463104248,20.3319873809814,20.502620697021502,20.9663619995117,0.10944607108831401,0.085279636085033,0.05899605900049201,0.043840393424034,0.032609198242426,20.6993560791016,1,5.859938621521,0.5673236846924039,0.548892974853601,0.3673686981202021,0.196735382080099,-0.267005920410099,-0.018430709838803,-0.199954986572202,-0.37058830261230497,-0.8343296051025041,-0.18152427673339802,-0.35215759277350106,-0.8158988952636999,-0.17063331604010298,-0.634374618530302,-0.46374130249019896,0
126,196,196,6.37482127340339e+18,1.23766725454837e+18,21.686712265014602,21.0802440643311,20.847238540649396,20.790348052978498,20.7281665802002,0.105651281774044,0.082322761416435,0.05695050582289701,0.04232032969594,0.031478550285101,21.505012512207,1,0.91094845533371,-0.181699752807603,0.42476844787589796,0.657773971557603,0.714664459228501,0.7768459320068001,0.6064682006835009,0.839473724365206,0.8963642120361041,0.9585456848144028,0.233005523681705,0.289896011352603,0.3520774841309021,0.05689048767089901,0.11907196044919699,0.062181472778299,0
130,201,201,3.84818748082723e+18,1.23766725507206e+18,22.507539749145497,21.446590423584002,21.548124313354503,21.52361488342289,21.2743301391602,0.15513800084590898,0.120882481336594,0.08362594246864301,0.062143035233021,0.04622300341725402,23.106018066406303,1,2.31289672851563,0.598478317260806,1.6594276428223005,1.5578937530518002,1.58240318298341,1.8316879272461,1.0609493255615001,0.959415435790994,0.9839248657225992,1.2332096099853,-0.101533889770501,-0.077024459838896,0.172260284423803,0.024509429931604997,0.27379417419430396,0.2492847442626989,0
131,202,202,6.37770642627442e+18,1.23766725507233e+18,21.986215591430696,21.060123443603498,20.856002807617198,20.7377338409424,20.396831512451197,0.1410181671381,0.109880402684212,0.076014757156372,0.056487109512091,0.042016033083201,22.1327800750732,1,2.70898008346558,0.146564483642504,1.0726566314697,1.276777267456,1.3950462341308,1.735948562622,0.9260921478271981,1.1302127838134999,1.2484817504883001,1.5893840789795,0.2041206359863,0.3223896026610969,0.663291931152301,0.118268966674798,0.459171295166001,0.340902328491204,0
140,220,220,6.37841011693742e+18,1.23766725507868e+18,22.2326393127441,21.6832542419434,21.66819190979,21.6109676361084,21.715791702270497,0.10952489823103,0.085341058671475,0.059038549661635985,0.04387196898460399,0.032632686197758,21.71712112426761,1,1.79542219638824,-0.515518188476499,0.033866882324205004,0.048929214477603,0.106153488159205,0.0013294219971059999,0.549385070800703,0.5644474029541021,0.621671676635703,0.516847610473604,0.015062332153398996,0.072286605835,-0.032537460327099,0.057224273681602,-0.047599792480497,-0.104824066162099,0
142,222,222,3.05587060555751e+18,1.23766725507908e+18,21.4565811157227,20.7491226196289,20.3104038238525,20.2977352142334,20.1505432128906,0.101201824843884,0.07885577529668801,0.05455206334590902,0.040538027882576,0.030152846127749006,23.8358345031738,1,2.54399919509888,2.3792533874511,3.0867118835448997,3.5254306793212997,3.5380992889404,3.6852912902832,0.7074584960938001,1.1461772918701998,1.1588459014893,1.3060379028321,0.438718795776399,0.45138740539550104,0.598579406738299,0.012668609619101998,0.1598606109619,0.147192001342798,0
150,233,233,6.38787466256345e+18,1.23766725508124e+18,23.8930473327637,22.4274845123291,21.1330280303955,20.4583797454834,19.701997756958,0.07632536441087699,0.05947220697999,0.041142597794533,0.030573358759284002,0.0227409619838,22.733324050903306,1,0.793778955936432,-1.1597232818603995,0.305839538574201,1.6002960205078,2.2749443054198997,3.0313262939453,1.4655628204346,2.7600193023682005,3.4346675872802996,4.1910495758057005,1.2944564819336002,1.9691047668456998,2.7254867553711004,0.674648284912102,1.4310302734375,0.756381988525398,0
156,244,244,6.3748212401174e+18,1.23766725561955e+18,21.6218452453613,20.902309417724602,20.711633682251,20.929269790649396,20.7838439941406,0.116571374237537,0.090831622481346,0.062836900353432,0.046694550663233,0.034732166677713,21.985338211059602,1,2.16852736473084,0.36349296569830297,1.083028793335,1.2737045288086002,1.05606842041021,1.201494216919,0.719535827636697,0.9102115631102979,0.6925754547119028,0.8380012512207,0.190675735473601,-0.026960372924794,0.118465423584002,-0.217636108398395,-0.072210311889599,0.145425796508796,0
162,253,253,3.06382227364958e+18,1.23766728834784e+18,22.140684127807607,21.4662780761719,21.4640827178955,21.3073234558105,21.520074844360398,0.19234998524189004,0.14987781643867498,0.103684775531292,0.077048897743225,0.057310227304697,24.0020694732666,1,2.28411316871643,1.861385345459,2.5357913970947004,2.5379867553711,2.6947460174561,2.4819946289062003,0.674406051635703,0.676601409912102,0.8333606719971021,0.620609283447205,0.002195358276399,0.158954620361399,-0.053796768188498004,0.156759262085,-0.055992126464897006,-0.212751388549897,0
171,267,267,3.85311329291967e+18,1.237667288887e+18,22.1651229858398,21.725753784179698,21.7336540222168,21.7930603027344,21.8843803405762,0.087342940270901,0.068057030439377,0.047081537544727006,0.03498662635684,0.026023622602224,23.3409729003906,1,1.70924842357636,1.1758499145508001,1.6152191162109,1.6073188781738001,1.5479125976562,1.4565925598143998,0.43936920166010296,0.4314689636230011,0.372062683105401,0.28074264526360104,-0.007900238037101999,-0.067306518554702,-0.15862655639650194,-0.0594062805176,-0.1507263183594,-0.091320037841801,0
175,272,272,6.37767120969007e+18,1.23766729211707e+18,22.5049209594727,21.9143142700195,21.9288692474365,21.8450012207031,21.4628410339355,0.18625989556312605,0.14513245224952698,0.10040196031332001,0.074609413743019,0.05549569800496098,22.7339820861816,1,1.5443909168243402,0.22906112670890305,0.819667816162102,0.805112838745103,0.888980865478501,1.2711410522461002,0.5906066894531999,0.5760517120362,0.659919738769599,1.0420799255372,-0.014554977416998996,0.069313049316399,0.451473236083999,0.083868026733399,0.4660282135009981,0.382160186767599,0
178,276,276,6.37767120110014e+18,1.23766729211871e+18,23.50032424926761,21.8266334533691,21.5976963043213,21.742216110229503,21.709241867065398,0.10591407865285901,0.082527533173561,0.05709216743707701,0.042425598949194,0.031556852161884,23.208786010742198,1,2.90539121627808,-0.29153823852540506,1.3821525573731002,1.6110897064209,1.4665699005127,1.4995441436768002,1.6736907958985001,1.9026279449463002,1.7581081390381001,1.7910823822022095,0.22893714904780202,0.084417343139599,0.11739158630370401,-0.144519805908203,-0.111545562744098,0.032974243164105,0
195,307,307,3.72085523803643e+18,1.23766729318551e+18,25.722055435180696,20.6669769287109,19.9673290252686,19.7976570129395,19.588083267211896,0.098061181604862,0.07640860974788702,0.052859120070934004,0.039279989898205005,0.029217097908258,23.7112636566162,1,3.44591665267944,-2.0107917785644998,3.0442867279052996,3.7439346313476003,3.9136066436767,4.1231803894042995,5.0550785064698,5.7547264099121,5.9243984222412,6.1339721679688,0.699647903442297,0.869319915771399,1.0788936614990001,0.16967201232910198,0.379245758056705,0.20957374572760296,0
196,308,308,3.72085523803643e+18,1.23766729318551e+18,25.722055435180696,20.6669769287109,19.9673290252686,19.7976570129395,19.588083267211896,0.098061181604862,0.07640860974788702,0.052859120070934004,0.039279989898205005,0.029217097908258,23.7112636566162,1,3.457415819168089,-2.0107917785644998,3.0442867279052996,3.7439346313476003,3.9136066436767,4.1231803894042995,5.0550785064698,5.7547264099121,5.9243984222412,6.1339721679688,0.699647903442297,0.869319915771399,1.0788936614990001,0.16967201232910198,0.379245758056705,0.20957374572760296,0
208,324,324,3.79889417553078e+18,1.23766729318944e+18,24.9618759155273,20.9900398254395,19.661334991455103,19.5944576263428,19.674264907836896,0.18570938706398002,0.14470350742340102,0.100105211138725,0.07438889890909199,0.055331677198410006,22.1458034515381,1,3.6144819259643595,-2.8160724639892,1.1557636260986,2.4844684600830003,2.5513458251952996,2.4715385437012003,3.9718360900878,5.3005409240722,5.3674182891845,5.28761100769041,1.3287048339843999,1.3955821990967,1.3157749176026001,0.066877365112305,-0.012929916381793001,-0.07980728149409799,0
